TICKER,INTERCEPT,COEFFICIENT1
ES,0.0458,0.0265
ESE,0.5394,-0.1405
ESS,0.3567,-0.0654
ESTE,0.6846,-0.1916
ETD,0.2194,-0.0915
ETN,0.5209,-0.1647
ETR,0.5024,-0.1966
EXP,0.7344,-0.2007
EXPD,0.2317,-0.0245
EXPO,0.2928,-0.0159
EZPW,0.1384,-0.0063
F,0.028,-0.0165
FAST,0.9902,-0.2321
FBNC,0.204,-0.0471
FCBC,0.2593,-0.1091
FCF,0.1258,-0.0357
FCN,0.5517,-0.1353
FCNCA,0.1225,-0.0069
FCX,0.2577,-0.0648
FDS,0.6816,-0.1396
FDX,0.5404,-0.1418
FELE,0.9018,-0.258
FFBC,0.084,-0.0131
FFIC,0.5897,-0.2384
FFIN,0.2205,-0.0197
FHN,0.0216,-0.0029
FICO,0.6078,-0.1248
FISV,0.6319,-0.1301
FITB,0.2714,-0.1016
FIZZ,0.1978,0.016
FL,0.3682,-0.0879
FLIC,0.5561,-0.1931
FLR,0.3395,-0.1072
FLS,0.4442,-0.1194
FMC,0.2303,-0.037
FMNB,0.3711,-0.1465
FNB,0.2241,-0.1051
FNLC,0.2806,-0.0914
FOSL,0.0497,-0.0089
FRME,0.2876,-0.0942
FRPH,0.7849,-0.2105
FRT,0.7536,-0.1911
FSS,-0.1035,0.0618
FUL,0.5041,-0.1484
FULT,0.3909,-0.1484
FWRD,0.4094,-0.0936
GABC,0.1566,-0.0231
GATX,0.106,-0.0115
GBCI,0.6563,-0.2036
GBX,0.7928,-0.2764
GCO,0.1004,-0.0114
GD,0.8589,-0.277
GE,0.2459,-0.1116
GEF,0.5081,-0.1818
GEF/B,0.4166,-0.1461
GEO,1.0563,-0.364
GFF,0.338,-0.1113
GGG,0.8787,-0.2296
GHC,0.5443,-0.1969
GIC,0.6395,-0.2159
GIII,0.4659,-0.089
GIS,0.42,-0.1267
GL,0.6528,-0.2102
GLT,0.337,-0.1249
GLW,0.71,-0.2192
GNTX,0.5174,-0.1259
GPC,0.2288,-0.052
GPS,0.3685,-0.1286
GRC,0.3678,-0.0924
GSBC,0.4782,-0.1467
GVA,0.6607,-0.2074
GWW,0.4629,-0.1117
HAE,0.4305,-0.0995
HAIN,0.9747,-0.2413
HAL,0.2943,-0.0825
HAS,0.297,-0.0716
HBAN,0.2245,-0.1016
HCSG,0.8253,-0.204
HD,0.5721,-0.1387
HE,0.1444,-0.0253
HEI,0.8994,-0.1833
HEI/A,0.1709,0.0137
HELE,0.689,-0.1867
HES,-0.114,0.0677
HIBB,0.5649,-0.1508
HIFS,0.3359,-0.0716
HIG,0.3858,-0.1695
HIW,0.1775,-0.0315
HMN,0.4229,-0.1698
HNI,0.5606,-0.2017
HOG,0.1612,-0.0405
HOLX,0.8088,-0.1535
HON,0.3142,-0.0818
HP,0.149,-0.0217
HPQ,0.4722,-0.2472
HRB,0.5906,-0.2065
HRL,0.3443,-0.0703
HSC,0.6821,-0.2585
HSIC,1.3125,-0.37
HSY,0.6743,-0.1874
HTLD,0.9976,-0.2925
HTLF,0.8329,-0.2825
HUBB,0.3177,-0.0808
HUM,0.8338,-0.2186
HVT,0.1362,-0.0255
HWKN,0.4027,-0.1071
IBM,0.1042,-0.0208
IBOC,0.5439,-0.2042
ICUI,0.9509,-0.2293
IDA,-0.0185,0.0516
IDXX,0.6411,-0.1047
IEX,0.2973,-0.0482
IFF,0.2135,-0.0456
IMKTA,0.3532,-0.1078
INDB,0.111,0.0003
INT,0.7039,-0.1951
INTC,0.5298,-0.1738
INTU,0.4648,-0.0717
IP,0.4606,-0.1702
IPAR,0.7048,-0.176
IPG,0.2249,-0.0724
IT,0.11,0.0168
ITIC,0.3476,-0.0902
ITT,0.2729,-0.0938
ITW,0.4913,-0.1295
J,0.5248,-0.126
JACK,0.4085,-0.0882
JBHT,0.9269,-0.2178
JBL,0.4799,-0.1394
JBSS,0.5327,-0.1395
JJSF,0.7498,-0.1863
JKHY,0.7481,-0.1699
JNJ,0.4465,-0.1251
JOE,0.5073,-0.134
JOUT,0.7534,-0.2167
JWN,0.8666,-0.2901
K,0.5581,-0.1951
KAI,0.2205,-0.0411
KAMN,0.5551,-0.1694
KBAL,0.1018,-0.0304
KELYA,0.126,-0.0459
KEX,0.4487,-0.1076
KEY,0.1216,-0.0463
KIM,0.6555,-0.2333
KLAC,0.6215,-0.1644
KMB,0.3952,-0.1267
KMPR,0.5862,-0.2148
KMT,0.6608,-0.238
KO,0.6884,-0.2158
KR,0.637,-0.2037
KSS,0.0298,-0.0026
KWR,0.1622,0.0003
L,0.4522,-0.1343
LANC,0.102,0.005
LCII,0.7607,-0.2081
LCUT,0.8025,-0.3017
LECO,0.6076,-0.1627
LEG,0.3053,-0.0942
LEN,0.4111,-0.1287
LFUS,0.7803,-0.199
LH,0.6806,-0.175
LHX,0.6845,-0.1939
LKFN,0.3519,-0.0814
LLY,0.4128,-0.1214
LMT,0.5932,-0.166
LNC,0.5415,-0.2186
LNN,0.3842,-0.0905
LNT,0.0281,0.0392
LOW,0.4769,-0.0996
LRCX,0.8022,-0.1945
LSCC,-0.206,0.0732
LSI,0.1829,-0.0183
LSTR,1.2561,-0.336
LUMN,0.1235,-0.062
LUV,1.0231,-0.2829
LZB,0.2944,-0.0835
M,0.7195,-0.3052
MAA,0.2977,-0.0407
