TICKER,NAME,REGION,HOLDING,MARKET_CAP,STYLE,SECTOR,SECURITY_TYPE,ASSET_CLASS,DURATION,CREDIT,CLASSIFICATION,MIN,MAX
RIGZ,Viridi Bitcoin Miners ETF,U.S.,Satellite,Broad Market,Blend,Cryptocurrency,ETP,Equity,Non-Fixed Income,Non-Fixed Income,U.S. Broad Market Blend ETP,0.0000,0.0313
RILY,B Riley Financial Inc,U.S.,Satellite,Small-cap,Blend,Financials,Common Stock,Equity,Non-Fixed Income,Non-Fixed Income,U.S. Small-cap Blend Common Stock,0.0000,0.0100
RINF,ProShares Inflation Expectations ETF,U.S.,Satellite,Non-Equity,Non-Equity,Non-Equity,ETP,Fixed Income,Long-Term,Investment Grade,U.S. Long-Term Investment Grade Fixed Income,0.0000,0.0313
RING,iShares MSCI Global Gold Miners ETF,Global,Satellite,Broad Market,Growth,Materials,ETP,Equity,Non-Fixed Income,Non-Fixed Income,Global Broad Market Growth ETP,0.0000,0.0313
RIOT,Riot Blockchain Inc,U.S.,Satellite,Small-cap,Blend,Technology,Common Stock,Equity,Non-Fixed Income,Non-Fixed Income,U.S. Small-cap Blend Common Stock,0.0000,0.0100
RISN,Inspire Tactical Balanced ESG ETF,U.S.,Satellite,Non-Equity,Non-Equity,Non-Equity,ETP,Mixed Allocation,Non-Fixed Income,Non-Fixed Income,U.S. Mixed Allocation,0.0000,0.5000
RJF,Raymond James Financial Inc,U.S.,Satellite,Mid-cap,Blend,Financials,Common Stock,Equity,Non-Fixed Income,Non-Fixed Income,U.S. Mid-cap Blend Common Stock,0.0000,0.0400
RKT,Rocket Cos Inc,U.S.,Satellite,Mid-cap,Value,Financials,Common Stock,Equity,Non-Fixed Income,Non-Fixed Income,U.S. Mid-cap Value Common Stock,0.0000,0.0300
RL,Ralph Lauren Corp,U.S.,Satellite,Mid-cap,Blend,Consumer Discretionary,Common Stock,Equity,Non-Fixed Income,Non-Fixed Income,U.S. Mid-cap Blend Common Stock,0.0000,0.0400
RLAY,Relay Therapeutics Inc,U.S.,Satellite,Small-cap,Growth,Health Care,Common Stock,Equity,Non-Fixed Income,Non-Fixed Income,U.S. Small-cap Growth Common Stock,0.0000,0.0300
RLGT,Radiant Logistics Inc,U.S.,Satellite,Small-cap,Value,Industrials,Common Stock,Equity,Non-Fixed Income,Non-Fixed Income,U.S. Small-cap Value Common Stock,0.0000,0.0100
RLI,RLI Corp,U.S.,Satellite,Small-cap,Growth,Financials,Common Stock,Equity,Non-Fixed Income,Non-Fixed Income,U.S. Small-cap Growth Common Stock,0.0000,0.0500
RLJ,RLJ Lodging Trust,U.S.,Satellite,Non-Equity,Non-Equity,Real Estate,REIT,REIT,Non-Fixed Income,Non-Fixed Income,Real Estate REIT,0.0000,0.0200
RLX,RLX Technology Inc,China,Satellite,Broad Market,Multi-Style,Consumer Staples,ADR,Equity,Non-Fixed Income,Non-Fixed Income,China ADR,0.0000,0.0100
RLY,SPDR SSgA Multi-Asset Real Return ETF,Global,Satellite,Non-Equity,Non-Equity,Non-Equity,ETP,Mixed Allocation,Non-Fixed Income,Non-Fixed Income,Global Mixed Allocation,0.0000,0.0625
RM,Regional Management Corp,U.S.,Satellite,Small-cap,Value,Financials,Common Stock,Equity,Non-Fixed Income,Non-Fixed Income,U.S. Small-cap Value Common Stock,0.0000,0.0400
RMAX,RE/MAX Holdings Inc,U.S.,Satellite,Small-cap,Blend,Real Estate,Common Stock,Equity,Non-Fixed Income,Non-Fixed Income,U.S. Small-cap Blend Common Stock,0.0000,0.0300
RMBS,Rambus Inc,U.S.,Satellite,Small-cap,Growth,Technology,Common Stock,Equity,Non-Fixed Income,Non-Fixed Income,U.S. Small-cap Growth Common Stock,0.0000,0.0200
RMD,ResMed Inc,U.S.,Satellite,Large-cap,Growth,Health Care,Common Stock,Equity,Non-Fixed Income,Non-Fixed Income,U.S. Large-cap Growth Common Stock,0.0000,0.0500
RMNI,Rimini Street Inc,U.S.,Satellite,Small-cap,Blend,Technology,Common Stock,Equity,Non-Fixed Income,Non-Fixed Income,U.S. Small-cap Blend Common Stock,0.0000,0.0400
RMO,Romeo Power Inc,U.S.,Satellite,Small-cap,Growth,Consumer Discretionary,Common Stock,Equity,Non-Fixed Income,Non-Fixed Income,U.S. Small-cap Growth Common Stock,0.0000,0.0100
